Business Name,Open /Closed,Street Number,Street Name 1,Street Name 2,Telephone No.,Website,Facebook,Instagram,Description,Food & Drink,Stores and Shopping,"Health, Wellness and Fitness",Entertainment,Contractors / Construction,Hair and Nails,"New in Town Info / Other (Parks, School, Banks, Drycleaner/Laundromat, Houses of Worship, Senior Services, Kids, Pets)",street_address,zip code,city,latitude,longitude
Martabak OK,,1801,Washington Avenue,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,1801 Washington Avenue,19146,philadelphia,,
Chick's (Bar & Grill),,1807,Washington Avenue,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,1807 Washington Avenue,19146,philadelphia,,
Café Ynez,,2025,Washington Avenue,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,2025 Washington Avenue,19146,philadelphia,,
Dock Street's Brewery,,2118,Washington Avenue,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,2118 Washington Avenue,19146,philadelphia,,
South Square Market,,2221,South Street,"Philadelphia, PA 19146",,,,,Food Store,,,,,,,,2221 South Street,19146,philadelphia,,
Dunkin',,1551,Washington Avenue,"Philadelphia, PA 19146",,,,,Food (Coffee),,,,,,,,1551 Washington Avenue,19146,philadelphia,,
Popeyes Louisiana Kitchen,,800,S Broad Street,"Philadelphia, PA 19146",,,,,Food,,,,,,,,800 S Broad Street,19146,philadelphia,,
McDonald's,,914,S Broad Street,"Philadelphia, PA 19146",,,,,food,,,,,,,,914 S Broad Street,19146,philadelphia,,
Chipotle,,1000,S Broad Street,"Philadelphia, PA 19146",,,,,Food,,,,,,,,1000 S Broad Street,19146,philadelphia,,
Starbucks,,1002,S Broad Street,"Philadelphia, PA 19146",,,,,Food (Coffee),,,,,,,,1002 S Broad Street,19146,philadelphia,,
