"Business Name","Open /Closed","Street Number","Street Name 1","Street Name 2","Telephone No.",Website,Facebook,Instagram,Description,"Food & Drink","Stores and Shopping","Health, Wellness and Fitness",Entertainment,"Contractors / Construction","Hair and Nails","New in Town Info / Other (Parks, School, Banks, Drycleaner/Laundromat, Houses of Worship, Senior Services, Kids, Pets)",street_address,"zip code",city,state,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
"The Baker's Jar",,625,"S 16th Street","Philadelphia, PA 19146",,,,,"Services (Bakery)",,,,,,,,"625 S 16th Street",19146,philadelphia,PA,39.943251,-75.168723,1,rooftop,625,"S 16th St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Art Sanctuary",,628,"S 16th Street","Philadelphia, PA 19146",,,,,"Art Gallery",,,,,,,,"628 S 16th Street",19146,philadelphia,PA,39.9433,-75.169134,1,rooftop,628,"S 16th St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Perfection Events Inc.",,628,"S 16th Street","Philadelphia, PA 19146",,,,,"Services (Event Planning)",,,,,,,,"628 S 16th Street",19146,philadelphia,PA,39.9433,-75.169134,1,rooftop,628,"S 16th St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"United House - Prayer for All People",,742,"S 16th Street","Philadelphia, PA 19146",,,,,"House of Worship",,,,,,,,"742 S 16th Street",19146,philadelphia,PA,39.942116,-75.169333,1,range_interpolation,742,"S 16th St",Philadelphia,PA,"Philadelphia County",19146,US,"TIGER/Line® dataset from the US Census Bureau"
"Marian Anderson Park / Recreation Center",,740,"S 17th Street","Philadelphia, PA 19146",,,,,"Parks and Recreation",,,,,,,,"740 S 17th Street",19146,philadelphia,PA,39.94202,-75.171645,1,rooftop,740,"S 17th St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Edwin M. Stanton School",,901,"S 17th Street","Philadelphia, PA 19146",,,,,"School / Educational",,,,,,,,"901 S 17th Street",19146,philadelphia,PA,39.940776,-75.171125,1,range_interpolation,901,"S 17th St",Philadelphia,PA,"Philadelphia County",19146,US,"TIGER/Line® dataset from the US Census Bureau"
L'anima,,1001,"S 17th Street","Philadelphia, PA 19146",,,,,Restaurant,,,,,,,,"1001 S 17th Street",19146,philadelphia,PA,39.939471,-75.171204,1,rooftop,1001,"S 17th St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Erie Insurance - Gallo Insurance Agency",,617,"S 18th Street","Philadelphia, PA 19146",,,,,"Services (Insurance)",,,,,,,,"617 S 18th Street",19146,philadelphia,PA,39.943912,-75.171825,1,rooftop,617,"S 18th St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Learning Train Academy",,629,"S 19th Street","Philadelphia, PA 19146",,,,,"School / Educational",,,,,,,,"629 S 19th Street",19146,philadelphia,PA,39.943838,-75.173441,1,rooftop,629,"S 19th St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"The Foreign Mission Board",,701,"S 19th Street","Philadelphia, PA 19146",,,,,"Services (Foreign Assistance)",,,,,,,,"701 S 19th Street",19146,philadelphia,PA,39.943655,-75.173492,1,rooftop,701,"S 19th St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Volpe Real Estate Inc",,701,"S 20th Street","Philadelphia, PA 19146",,,,,Realtor,,,,,,,,"701 S 20th Street",19146,philadelphia,PA,39.944118,-75.175241,1,range_interpolation,701,"S 20th St",Philadelphia,PA,"Philadelphia County",19146,US,"TIGER/Line® dataset from the US Census Bureau"
"St Charles Borromeo Roman Catholic Church",,902,"S 20th Street","Philadelphia, PA 19146",,,,,"House of Worship",,,,,,,,"902 S 20th Street",19146,philadelphia,PA,39.941079,-75.176019,1,range_interpolation,902,"S 20th St",Philadelphia,PA,"Philadelphia County",19146,US,"TIGER/Line® dataset from the US Census Bureau"
